"","normal_avg","cl2_avg","cl3_avg"
"cg00000714",-2.04903295260294,-2.18170791666667,-1.74116142857143
"cg00000957",1.03539768902941,0.772071158333333,1.28202585306122
"cg00001687",1.40994042784118,1.842958075,2.1534866
"cg00003578",-0.481280083764706,-0.633423316666667,-0.654930596938776
"cg00004429",0.187258274832353,0.146749431666667,-0.310403813857143
"cg00004700",1.83073144972059,1.58890772083333,2.09431413461224
"cg00005072",0.94973159675,1.29620296666667,1.23560367346939
"cg00005112",0.10847282285,0.0778667958333333,0.480398396938776
"cg00005617",1.43488103807353,1.345367275,0.86235833122449
"cg00007269",-2.91255604810294,-3.20043633333333,-2.84469540816327
"cg00007324",2.63847022664118,2.59867025,2.95032018367347
"cg00008033",-2.47364479751471,-2.37343725,-2.10142959183673
"cg00008713",-2.34966735322353,-2.59539541666667,-2.26594063265306
"cg00008971",0.500265607152941,0.160330654166667,-0.108601899469388
"cg00010445",-1.053534805,-1.1557518,-0.793305581632653
"cg00011459",2.15524316360588,1.99491241666667,2.34002142857143
"cg00011578",-1.96930723021765,-2.2186185,-1.91525034693878
"cg00012386",-2.98376644432647,-3.041324,-2.7602007755102
"cg00012529",0.204313419405882,0.453911214166667,0.810036320285714
"cg00012692",-0.756556549070588,-0.971456658333333,-0.431680639795918
"cg00012698",0.56682493325,0.5911747575,0.0610080446938776
"cg00014104",-1.09516611090588,-1.05486216666667,-0.797944922244898
"cg00014168",-0.0982919450823529,-0.534728125,-0.141913045673469
"cg00014806",-3.47305239835882,-3.62096766666667,-3.15578210204082
"cg00016522",-2.21361226137353,-2.30238905833333,-1.33669900938776
"cg00016841",-2.15474043337059,-2.31928433333333,-1.97724616326531
"cg00018128",-1.14688606720882,-1.54210223333333,-0.624931685510204
"cg00018184",-0.0678469508970588,-0.0844087231666667,-0.240586760510204
"cg00019377",-1.48504996509706,-1.67819358333333,-1.4143317755102
"cg00019495",-1.24018865225,-1.45974740833333,-1.60669483061224
"cg00019877",0.688436180652941,0.692124558333333,0.0273838895918367
"cg00020348",1.83592228304118,2.23433066666667,1.81569102040816
"cg00020533",2.15689372835882,2.061207,2.36397657142857
"cg00020799",1.23817111023235,1.141585725,1.03452271020408
"cg00021123",0.101470280023529,-0.102887989583333,-0.178231461428571
"cg00022866",0.295892501682353,0.316067541666667,0.116792206306122
"cg00023321",1.8211630736,1.29772245833333,1.95651967346939
"cg00023464",-0.585532681608824,-0.618103283333333,-0.313398270408163
"cg00023919",-0.446618027047059,-0.61040795,-0.624379908163265
"cg00024280",-2.77105956562059,-3.26117066666667,-2.71448251020408
"cg00025795",1.95475915774118,2.08424491666667,1.66727987755102
"cg00026412",0.0529832889117647,0.01529170325,-0.443360275306122
"cg00027669",-0.0537737669941176,-0.125884891666667,-0.401774319244898
"cg00028013",-1.04612861680294,-1.27338100833333,-1.31282172857143
"cg00028034",0.444662928982353,0.305646085,0.192867671479592
"cg00028135",-0.8876008955,-1.25912646666667,-1.28426232265306
"cg00028678",0.0282330550441176,-0.182070084083333,0.353599859183673
"cg00028929",1.62549315991176,1.84127541666667,1.79481981632653
"cg00029640",0.944335603144118,1.27818279166667,1.3021575
"cg00030422",-2.29144223235294,-2.4936,-1.80441069387755
"cg00030774",-1.00872593525588,-1.273145175,-1.22327821020408
"cg00031162",-0.0534897800147059,0.153025727916667,0.429110674
"cg00032205",-1.66364134281471,-1.69408658333333,-1.27512259591837
"cg00032701",-0.149570639911765,-0.289045889166667,-0.496483504081633
"cg00033806",0.79892301315,1.08204124166667,1.26858769183673
"cg00035197",1.01291278145882,1.050108225,0.788040671428571
"cg00036588",2.20915081916176,2.106844,1.92708040816327
"cg00036871",0.213827419917647,0.3161881425,0.411809106122449
"cg00038436",-2.36283165576176,-2.64658758333333,-2.33735132653061
"cg00040575",-1.10627540073824,-1.2951894,-1.28880721020408
"cg00043004",-1.10565739711765,-1.34854585833333,-0.861013302040816
"cg00043800",0.154497530079412,0.176204880833333,-0.350262313061224
"cg00044372",0.662345739317647,1.06514797916667,1.17761707346939
"cg00045118",0.310965236294118,0.4866348175,0.594744585714286
"cg00045902",-0.115513873847059,-0.026378806,0.199035625510204
"cg00047469",-2.24490103452941,-2.55815358333333,-2.17564432653061
"cg00049440",-0.553479275391176,-0.535512458333333,-0.24171680322449
"cg00050692",1.28860562862647,1.45478769166667,1.518856
"cg00050938",0.786812014682353,0.592864741666667,0.216838994183673
"cg00054210",-0.579227483302941,-0.72160265,-0.345442714285714
"cg00054890",2.26577651907941,2.31060891666667,2.03637083673469
"cg00055052",1.51201527404412,1.55181958333333,1.29201100408163
"cg00057317",-2.69025334378824,-2.99637766666667,-2.66477675510204
"cg00058163",-0.0529078733676471,0.0764086991666667,0.142046854897959
"cg00058708",-1.26530152226765,-1.40208775,-1.06390866326531
"cg00059225",-1.42319001284706,-1.48165408333333,-1.2522503122449
"cg00061031",0.255439427864706,0.374161865,-0.215002906204082
"cg00062282",-0.380019626335294,-0.398014358333333,-0.104913183877551
"cg00063471",-3.07872497255882,-2.97697758333333,-2.88505326530612
"cg00063535",0.105687704902941,0.124664575833333,-0.262685647489796
"cg00064020",-1.30424426394706,-1.4292576,-1.0496358244898
"cg00065570",0.231094657408824,0.22284838,0.0516427427755102
"cg00066816",-0.523558392535294,-0.674206491666667,-0.695845281632653
"cg00067414",-2.6420674636,-2.66032425,-1.88602708163265
"cg00068155",-2.05149366027353,-2.05286175,-1.79198157142857
"cg00068750",0.184176229967647,0.259428725,0.504754118571429
"cg00070235",0.190829978164706,-0.0250942803166667,-0.186023785346939
"cg00070460",-0.113417193858824,-0.125994584166667,0.112718425510204
"cg00071051",-0.298829965794118,-0.241642685,-0.0494953924489796
"cg00073460",0.774500274402941,0.758081716666667,1.11794653061224
"cg00075967",1.61732772207059,1.65962655833333,1.98866304081633
"cg00076555",-0.266192852791176,-0.236737063333333,-0.0491643732602041
"cg00077426",1.96540745207941,1.82728875,1.33539136122449
"cg00079302",0.885221918688235,1.04367268333333,0.500870306510204
"cg00083937",-0.776134571291176,-0.825363358333333,-0.571459833265306
"cg00084094",-1.62495190693824,-1.67702133333333,-1.98898853673469
"cg00084347",-0.189107399470588,-0.3935936075,-0.428437682244898
"cg00085619",-1.52320712941471,-1.64481966666667,-1.06873122102041
"cg00085732",1.35592996060294,1.39669389166667,1.11656056734694
"cg00088507",2.62032504982647,2.4158995,2.66910955102041
"cg00088691",2.86962318693529,2.71779116666667,3.10881114285714
"cg00088797",-1.01817846800882,-0.960221941666667,-0.514951255510204
"cg00089372",-3.38304111899118,-3.09151391666667,-3.44929944897959
"cg00089453",0.191117689570588,0.232710589166667,0.464701535306122
"cg00090619",-1.94597930484118,-1.967728,-1.769309
"cg00091044",-2.62965188612941,-2.65145066666667,-2.34173434693878
"cg00092518",-0.578175693547059,-0.701324583333333,-0.244020600016327
"cg00093815",-2.57455659174706,-2.53203633333333,-2.38042718367347
"cg00094412",-1.35134067068824,-1.28334566666667,-1.07342393061224
"cg00095214",0.772650325529412,0.753519241666667,0.436187353877551
"cg00095276",1.19350008612353,0.645548471666667,1.58732819387755
"cg00097088",-0.201942426079412,0.0304880891666667,0.104527727518367
"cg00099835",-2.76171669209706,-2.94092941666667,-2.57300471428571
"cg00101154",-1.7331815164,-1.796229975,-1.17594610826531
"cg00101728",-0.925032694408824,-1.17705881666667,-1.19550465510204
"cg00102808",-2.49813385931765,-2.98125716666667,-2.42997069387755
"cg00102920",-2.72029340793824,-2.8742995,-2.54928332653061
"cg00105253",-1.39827056393235,-1.48430441666667,-1.21935948979592
"cg00105306",0.782526891623529,1.03416818333333,1.12818334693878
"cg00106501",-2.58276263040882,-2.81043575,-2.5476096122449
"cg00109344",-0.272451300811765,-0.311478869166667,-0.551354111714286
"cg00111823",2.38056945907941,2.1805113,1.45936141428571
"cg00112238",0.252339071508824,0.202931010833333,0.518972254489796
"cg00114012",1.67221780773235,2.01510066666667,2.06163842857143
"cg00114312",1.6163750103,1.51428245,1.2195348
"cg00114478",-0.368285004344118,-0.572368508333333,-0.830444608163265
"cg00114694",2.13466472032941,2.09711983333333,1.72435772653061
"cg00114710",2.15075074176765,2.1399365,2.36966895918367
"cg00115567",1.77689592001471,2.15157925,1.74600959183673
"cg00115654",-0.809902772614706,-0.894633975,-0.539346598
"cg00117335",2.33144314002059,2.24085033333333,2.59072626530612
"cg00119241",0.911836858932353,1.04813554166667,1.19844520408163
"cg00119687",1.369572098,1.69693788333333,1.79074872857143
"cg00119811",0.4116357981,0.3673956,0.624474663469388
"cg00121904",-2.21043029097941,-2.30278091666667,-1.82916289795918
"cg00122944",0.952473368902941,0.868267175,0.6538483
"cg00124488",-0.857977895732353,-1.20504549166667,-0.830583010204082
"cg00128877",-1.78147628245294,-1.85826933333333,-1.50546291836735
"cg00129132",-1.46266167927941,-1.059814975,-1.7063792244898
"cg00129232",1.87997919318824,2.05603075,2.29444049387755
"cg00134210",-1.07696478355294,-1.13999486666667,-1.45065720408163
"cg00134295",0.738551225764706,0.800112808333333,1.09088847755102
"cg00135399",1.49042170421176,1.39396101666667,1.80118883673469
"cg00135874",1.54921263777059,1.79105216666667,1.81898685714286
"cg00136968",0.239481526385294,0.170648208333333,-0.135839534204082
"cg00139242",2.39159796547059,2.2468755,2.57459046938776
"cg00141162",0.357901238782353,0.413586980833333,0.526920960612245
"cg00142925",-2.12790963085588,-2.28208208333333,-1.82456406122449
"cg00143362",0.555427902526471,0.6888802,0.341193985102041
"cg00145118",-1.21173205377353,-1.33023175833333,-1.59554039387755
"cg00145849",-2.43884219258824,-2.63600966666667,-2.40261046938776
"cg00145961",2.30542385583529,2.17430258333333,2.66741848979592
"cg00145979",-2.44650283026176,-2.73784516666667,-2.37940436734694
"cg00148325",1.56247938915882,1.94456583333333,1.42833559183673
"cg00149537",2.05309944695294,1.90990193333333,1.17836769795918
"cg00150848",1.66979183046471,1.76714340833333,1.38309686530612
"cg00151170",1.85599091353824,1.886847,1.50927997346939
"cg00152259",-1.23832692596176,-1.34642403333333,-1.06277387142857
"cg00152942",0.07809321135,-0.0100160216666667,-0.180193714081633
"cg00153101",0.354312622632353,0.264125803333333,0.116721687755102
"cg00154846",0.230324399188235,0.209976478,0.399169464285714
"cg00154957",-0.364316331564706,-0.387155149166667,-0.69509272244898
"cg00156230",0.516367321326471,0.464024595833333,0.0773766416326531
"cg00156427",-1.11120100662353,-1.15666784166667,-0.74874378
"cg00157962",1.12935410231471,1.16335445833333,1.5581509122449
"cg00159799",1.11591718562941,0.964116575,0.859203093877551
"cg00160359",1.36010689690588,1.18753556666667,0.963334987755102
"cg00160583",-0.339134466232353,-0.425869845,-0.670523858979592
"cg00161124",-1.11029547398235,-1.28080796666667,-1.57439550816327
"cg00162104",1.0947456231,0.828517016666667,1.31014826530612
"cg00163546",0.375452587,0.524052064166667,0.757865416734694
"cg00164898",-2.45649020515,-2.47165266666667,-1.92616389795918
"cg00165631",-0.51533920885,-0.641384833333333,-0.693513510204082
"cg00166352",2.71871946208529,2.48862066666667,2.80210334693878
"cg00168191",-0.109206576647059,-0.0594909475,0.184567546265306
"cg00169019",2.25078528854412,2.29858733333333,1.99322414285714
"cg00169111",0.298260862914706,0.4023932323475,0.0549431307346939
"cg00169677",0.7430410387,1.0285595,1.17313975510204
"cg00171166",2.3637202637,2.3045395,1.76117463061224
"cg00171729",-1.06997574241765,-1.11559174166667,-1.34378226326531
"cg00173854",-3.00694978513529,-3.22325033333333,-2.77255316326531
